﻿Sr.No.,Response No,IP Address,Email Address,StartTime,EndTime,1.Lugar de procedencia,2.¿En qué municipio reside?,3.Edad,4.Sexo,5.¿Ha utilizado usted alguna planta para tratar alguna enfermedad/afección?,6.¿Conoce usted el achiote (Bixa orellana L.)?,7.¿Estaría dispuesto a conocer más sobre los usos ancestrales del achiote (Bixa orellana L.)?,8.¿Qué tan efectivo cree usted que son los tratamientos alternativos de achiote?,"9.Por favor, explique su elección en la pregunta anterior:",10.He leído,11.¿Conoce usted otro nombre para el achiote?,12.¿Qué usos ha oído usted del achiote? ¿cuáles usos le ha dado usted al achiote?,,,,,,13.De las opciones de abajo seleccione aquellas que usted conozca como aplicaciones del achiote,,,,,,,,,,,14.¿Con qué frecuencia utiliza el achiote en cualquiera de sus presentaciones?,15.¿Cómo obtiene usted el achiote (Bixa orellana L.)?,,,,,,,16.¿Está usted al tanto que es posible conseguir achiote en los centro de conveniencia bajo el apartado de especias?,17.Seleccione qué parte de la planta Bixa orellana L. (achiote) se utiliza para obtener el polvo rojo comúnmente comercializado,18.¿Conoce alguna otra planta tintórea de comida?,19.¿Ha utilizado usted alguna planta tintórea de comida?,20.¿Qué formas de preparación conoce usted para usar el achiote como medicina?,,,,,,,,,21.¿Qué tan dispuesto está usted a utilizar el achiote como sustituto de la medicina occidental?,"22.Por favor, explique su elección en la pregunta anterior:",23.Seleccione las maneras en las cuáles estaría usted de acuerdo en administrar medicamento fabricado con achiote,,,,,,,,24.¿Qué tan efectivo cree usted que son los tratamientos alternativos de achiote?,"25.Por favor, explique su elección en la pregunta anterior:"
10,78,186.151.92.46,Public Access,9/23/2020 17:33,9/23/2020 17:36,Casco urbano,Guatemala,15-35 años,Masculino,"Si, ¿cuál? ¿cómo?:Tilo, dolor de estómago",No,Si,4,Los compuestos naturales han sido parte de la medicina tradicional maya por mucho tiempo,si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,79,190.148.209.213,Public Access,9/23/2020 18:32,9/23/2020 18:42,Casco urbano,"Guatemala, Fraijanes",15-35 años,Femenino,"Si, ¿cuál? ¿cómo?:Pericon en te para el dolor de estómago. Tomate para aliviar quemaduras.",Si,,,,,No,Tinte,Culinario,Medicinal,Cosmético,,,,,,Tinte para textiles,Colorante en pintalabios,Colorante de comidas y bebidas,Alivio de la fiebre,,,,,No lo utilizo,,,,,,No obtengo achiote,,No,Semillas,Azafrán,No,Infusión o té,Hervida,,,,,Molida,,,5,Considero que tiene buenos usos y puede ser sustituido por medicamentos químicos,Aplicación local,,,,,En infusión,En cápsulas,,5,Creo que es bastante útil,
12,80,190.104.120.249,Public Access,9/23/2020 18:42,9/23/2020 18:53,Casco rural,Chiquimula,15-35 años,Femenino,No,Si,,,,,No,Tinte,Culinario,Medicinal,,,,,,,Tinte para textiles,Colorante en pintalabios,Colorante de comidas y bebidas,,,,,,No lo utilizo,Mercado,Supermercado,,,,,,No,Fruto,Remolacha,"Si, ¿cuál? ¿cómo?:Remolacha en ensalada",,,,,,,Molida,,,3,Porque puede ser útil,,,,,,En infusión,En cápsulas,,4,Debe funcionar por sus propiedades,
13,81,191.92.84.233,Public Access,9/23/2020 18:37,9/23/2020 19:11,Casco urbano,Ciudad de Guatemala,15-35 años,Femenino,"Si, ¿cuál? ¿cómo?:""Mata ratón"", se cocina y con esa agua se da un baño para bajar la fiebre",Si,,,,,No,Tinte,Culinario,,,,,,,,Tinte para textiles,Colorante en pintalabios,Colorante de comidas y bebidas,,,,,,Mensualmente,Mercado,Supermercado,Tienda de conveniencia,,,,,Si,Fruto,Remolacha,No,,,,,,,,No conozco ninguna preparación,,4,"Me parece una buena alternativa, más económica, fácil de conseguir",Aplicación local,Lavados,Aplicación en baños,,,,,,4,Puede que sea más efectivo en enfermedades leves; aunque no conocería totalmente su efectividad,
14,82,190.148.209.236,Public Access,9/23/2020 21:46,9/23/2020 21:48,Casco urbano,Guatemala,15-35 años,Femenino,"Si, ¿cuál? ¿cómo?:Te de hoja de limón, miel para la tos aloe para cicatrización",No,Si,3,No sé qué efectos produce,si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,83,190.104.124.180,Public Access,9/23/2020 22:51,9/23/2020 22:58,Casco urbano,Mixco,15-35 años,Femenino,"Si, ¿cuál? ¿cómo?:Hoja de naranja para los nervios",No,Si,3,Considero que lo natural ayuda mucho al organismo pero no es tan rápido.,si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,84,181.174.107.24,Public Access,9/24/2020 07:26,9/24/2020 07:29,Casco urbano,Fraijanes,15-35 años,Femenino,No,Si,,,,,No,Tinte,Culinario,,,,,,,,Tinte para textiles,,Colorante de comidas y bebidas,,,,,,Una vez cada seis meses,,,,,,No obtengo achiote,,No,Fruto,Remolacha,No,Infusión o té,Hervida,,Machacada,,,Molida,,,2,"No lo conozco, prefiero la medicina teadicional",,Lavados,,,,En infusión,,,3,No conozco y no sé,
17,85,190.148.209.71,Public Access,9/24/2020 07:52,9/24/2020 07:55,Casco urbano,Guatemala,15-35 años,Femenino,"Si, ¿cuál? ¿cómo?:Tilo y pasiflora en té para el insomnio y ansiedad. CBD para lo mismo",No,Si,4,Considero que todo lo natural si posee efectos notables a comparación de los químicos,si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,86,190.56.253.106,Public Access,9/24/2020 07:50,9/24/2020 07:58,Casco urbano,Mixco,15-35 años,Femenino,"Si, ¿cuál? ¿cómo?:",Si,,,,,No,,Culinario,Medicinal,,,,Repelente de mosquitos,Protector solar,,,,,,,,,,Una vez cada seis meses,Mercado,Supermercado,,,,,,Si,Raíz,Azafrán,"Si, ¿cuál? ¿cómo?:Azafrán, curry",Infusión o té,Hervida,,Machacada,,,,,,5,Creo firmemente en las plantas como primer paso para tratar afecciones,Aplicación local,Lavados,Aplicación en baños,,,En infusión,En cápsulas,,3,No he tratado con el achiote como on otras hierbas de forma medicinal,
19,87,181.209.195.50,Public Access,9/24/2020 08:34,9/24/2020 08:38,Casco urbano,Guatemala,15-35 años,Masculino,No,No,Si,4,He escuchado que presenta características curativas,si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,88,190.148.52.189,Public Access,9/24/2020 10:41,9/24/2020 10:44,Casco urbano,Asunción Mita,15-35 años,Femenino,No,Si,,,,,No,Tinte,Culinario,,,,,,,,Tinte para textiles,,Colorante de comidas y bebidas,,,,,,Mensualmente,Mercado,,Tienda de conveniencia,,,,,Si,Semillas,Remolacha,"Si, ¿cuál? ¿cómo?:La remolacha en los curtidos de repollo",,,,,,,Molida,,,4,Es de mucha ayuda contar con medidas alternativas a la medicina común,,,,,,,En cápsulas,,1,"No lo sé, nunca la he usado",
21,89,190.148.51.178,Public Access,9/24/2020 10:52,9/24/2020 10:57,Casco rural,Ciudad Vieja,15-35 años,Masculino,"Si, ¿cuál? ¿cómo?:Manzanilla, dolor estomacal.",Si,,,,,No,Tinte,Culinario,,,,,,,,Tinte para textiles,,Colorante de comidas y bebidas,,,,,,Una vez cada seis meses,,,Tienda de conveniencia,,,,,Si,Semillas,Remolacha,No,,,,,,,Molida,,,3,,Aplicación local,,,,,,En cápsulas,,3,,
22,90,190.106.194.171,Public Access,9/24/2020 10:52,9/24/2020 11:00,Casco urbano,Cobán,15-35 años,Masculino,"Si, ¿cuál? ¿cómo?:Cúrcuma",Si,,,,,No,Tinte,Culinario,Medicinal,,,,Repelente de mosquitos,,,Tinte para textiles,,Colorante de comidas y bebidas,,,,,,Mensualmente,Mercado,,,,,,,Si,Fruto,"Conozco otra/otras, ¿cuál/cuáles?:Cúrcuma","Si, ¿cuál? ¿cómo?:Cúrcuma",,,,,,,Molida,,,4,Si cuidamos nos alimentamos de forma adecuada la necesidad de fármacos se reduce y aumenta natural,,,,,,En infusión,En cápsulas,,3,Desconozco todos los beneficios del achiote,
23,91,190.104.121.197,Public Access,9/24/2020 10:52,9/24/2020 11:04,Casco urbano,Villa Nueva,15-35 años,Masculino,"Si, ¿cuál? ¿cómo?:Coralillo (Hamelia patens) como lienzos para desinfectar heridas y como té desinflamatorio",Si,,,,,No,Tinte,Culinario,,Cosmético,,,,,,Tinte para textiles,Colorante en pintalabios,Colorante de comidas y bebidas,,,,,Otro::Colorante de yemas de huevo de gallina mediante la alimentación,No lo utilizo,,,,,Producción propia,,,Si,Semillas,No conozco ninguna otra planta tintórea,No,,,,,,,,No conozco ninguna preparación,,4,"En la mayoría de los casos, el consumo de plantas medicinales no presenta efectos secundarios",Aplicación local,Lavados,Aplicación en baños,,,En infusión,En cápsulas,,5,"Las plantas medicinales tienen cientos de años siendo probadas, por lo que a cada tiene uso específi",
24,92,190.148.53.31,Public Access,9/24/2020 11:08,9/24/2020 11:16,Casco urbano,Guatemala,15-35 años,Femenino,"Si, ¿cuál? ¿cómo?:Sábila, comerla cruda o en mermelada",Si,,,,,No,Tinte,Culinario,,,,,,,,Tinte para textiles,,Colorante de comidas y bebidas,,,,,,Mensualmente,,,Tienda de conveniencia,,,,,Si,Semillas,Remolacha,"Si, ¿cuál? ¿cómo?:Cúrcuma, salchicha Viena",,,,,,,,No conozco ninguna preparación,,3,Bajo receta médica consumiría plantas medicinales como alternativa.,,,,,,En infusión,En cápsulas,,5,He tenido experiencias positivas con el uso de plantas medicinales,
25,93,190.143.222.98,Public Access,9/24/2020 11:07,9/24/2020 11:22,Casco rural,"Santa Ana, Peten",15-35 años,Masculino,"Si, ¿cuál? ¿cómo?:Te de limón, ruda, albahaca, jenjibre",Si,,,,,No,,Culinario,,,,,,,,,,Colorante de comidas y bebidas,,,,,,Mensualmente,Mercado,,Tienda de conveniencia,,,,,Si,Semillas,No conozco ninguna otra planta tintórea,No,,,,,,,Molida,,,3,"Tendría que investigar sobre los efectos secundarios, para ver si es posible usarlo como sustituto",Aplicación local,,,,,,,,3,,
26,94,190.148.51.175,Public Access,9/24/2020 11:32,9/24/2020 11:39,Casco urbano,Sta. Catarina Pinula,15-35 años,Masculino,No,Si,,,,,No,Tinte,Culinario,,,,,Repelente de mosquitos,,,Tinte para textiles,,Colorante de comidas y bebidas,,,,,,Una vez cada seis meses,Mercado,Supermercado,,,,,,Si,Raíz,Remolacha,"Si, ¿cuál? ¿cómo?:Remolacha y aguacates",,,,,,,,No conozco ninguna preparación,,4,Me parece que debemos de utilizar más medicina natural y dejar tantos quimicos,Aplicación local,,,,,En infusión,En cápsulas,,4,La medicina natural proviene de civilizaciones antiguas que sabían lo que hacían,
27,95,181.174.106.148,Public Access,9/24/2020 11:39,9/24/2020 11:45,Casco urbano,Villa Nueva,15-35 años,Masculino,No,Si,,,,,No,Tinte,Culinario,Medicinal,,,,,,Alivio para la diarrea,Tinte para textiles,,,,Quita el dolor en los dientes,,,,No lo utilizo,,,,,,No obtengo achiote,,No,Raíz,Remolacha,No,,,,,,,,No conozco ninguna preparación,,5,Sería una buena alternativa para la reducción del uso de fármacos,Aplicación local,,,,,En infusión,En cápsulas,,4,Puede que en algunos casos no reemplace a un fármaco convencional,
28,96,190.148.53.147,Public Access,9/24/2020 11:45,9/24/2020 11:46,Casco urbano,Jutiapa,15-35 años,Femenino,"Si, ¿cuál? ¿cómo?:",No,Si,4,,si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,97,190.148.52.220,Public Access,9/24/2020 11:50,9/24/2020 11:54,Casco urbano,Amatitlan,15-35 años,Femenino,"Si, ¿cuál? ¿cómo?:Jengibre, alo verá.",Si,,,,,No,,Culinario,,,,,,,,,,Colorante de comidas y bebidas,,,,,,Una vez cada seis meses,Mercado,,,,,,,Si,Semillas,Remolacha,"Si, ¿cuál? ¿cómo?:Achiote",,,,,,,,No conozco ninguna preparación,,5,Seria bueno conocer acerca de sus beneficios,,,,,,En infusión,En cápsulas,,5,Por ser una medicina natural considero que son bastante efectivos,
30,98,181.209.195.80,Public Access,9/24/2020 12:06,9/24/2020 12:08,Casco urbano,Mixco,15-35 años,Femenino,No,No,Si,3,,si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,99,190.148.209.11,Public Access,9/24/2020 12:09,9/24/2020 12:13,Casco urbano,Ciudad Guatemala,15-35 años,Masculino,"Si, ¿cuál? ¿cómo?:Infusiones de tilo, manzanilla, eucalipto",No,Si,3,No lo he tratado,si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,100,190.148.48.109,Public Access,9/24/2020 12:14,9/24/2020 12:19,Casco urbano,Guatemala,15-35 años,Femenino,"Si, ¿cuál? ¿cómo?:Eucalipto = ""nebulizador"", hoja de limón (dolor de estómago y de garganta así como repelente de mosquitos), jengibre (dolor de garganta, irritación e inflamación), cúrcuma (blanqueamiento dental y desinflamante), etc.",Si,,,,,No,Tinte,Culinario,Medicinal,,,,,,Alivio para la diarrea,Tinte para textiles,,Colorante de comidas y bebidas,Alivio de la fiebre,Quita el dolor en los dientes,,,,No lo utilizo,,,,,,No obtengo achiote,,Si,Semillas,Azafrán,"Si, ¿cuál? ¿cómo?:Remolacha para ensaladas y enchiladas. Azafrán para ""colorear"" la paella.",Infusión o té,Hervida,Frotada,,,Masticada,,,,5,Estoy procurando practicar la medicina tradicional y natural.,Aplicación local,Lavados,,Aplicación nasal,,En infusión,,,4,"No uso el achiote, pero he escuchado comentarios favorables.",
